case_id,family,D,gamma,lam,mu,alpha_phase,beta_vorticity,kappa_kinetic,delta_kinetic,feedback,flux_push,vorticity_push,horizon_gate,schrodinger,string_m,dirac,maxwell,einstein,thermo,hawking,radiation,continuity,continuity_improvement_ratio,continuity_fit_corr,core_score
1,compact,0.12,0.01,0.025,0.01,0.04,0.025,0.08,0.018,0.02,0.026,0.016,0.34,0.9009865932704739,0.9227037598331826,0.9989021413410062,0.9987451074502202,0.9820305242738371,0.8185200693901973,0.7374953578715103,0.9494601131083404,0.6455569826083315,0.41937405852168913,0.8671467784471214,0.8838222943496779
2,compact,0.16,0.008,0.03,0.02,0.06,0.04,0.12,0.018,0.04,0.026,0.016,0.34,0.8906035681201294,0.9148158322061786,0.9980402474052992,0.9979735378972421,0.9774466981932491,0.7938553539782545,0.7374341633198174,0.9264180877308333,0.7229824916183176,0.5607361674097138,0.8741735284664641,0.8843966644965913
3,compact,0.2,0.006,0.035,0.035,0.08,0.055,0.16,0.018,0.06,0.026,0.016,0.34,0.8830197617078672,0.9089761287742673,0.9970642888462204,0.9968044161174049,0.9650789918548556,0.7819302020427472,0.7365113551609829,0.9196656770759266,0.7763695505428535,0.6713586302228377,0.8590112282554583,0.8850467080136807
4,dipole,0.12,0.01,0.025,0.01,0.04,0.025,0.08,0.018,0.02,0.026,0.016,0.34,0.9469230122276813,0.9574019794545947,0.9995799613185744,0.9996226794487422,0.9788654581608789,0.8290163945348759,0.7374978016265938,0.9429277598703704,0.5849290468006209,0.34395502244191833,0.8129233310377586,0.8863071214936592
5,dipole,0.16,0.008,0.03,0.02,0.06,0.04,0.12,0.018,0.04,0.026,0.016,0.34,0.9302679024734983,0.9452909805212628,0.9992789595139255,0.9994059297239464,0.9794133761344417,0.8031757451806156,0.7374676158199174,0.9497572486553485,0.6106569821890584,0.3915955336124571,0.8104317140283869,0.8838571933568906
6,dipole,0.2,0.006,0.035,0.035,0.08,0.055,0.16,0.018,0.06,0.026,0.016,0.34,0.9171999975518801,0.9353922418001814,0.9988511673751176,0.9990004379191615,0.9737897284427283,0.7871973909293917,0.7373522929783657,0.9525484017418369,0.6741743372328286,0.5049292114744456,0.82389994753402,0.8861673328857214
7,ring,0.12,0.01,0.025,0.01,0.04,0.025,0.08,0.018,0.02,0.026,0.016,0.34,0.8907748966297543,0.9143450777566489,0.9994730046086006,0.9969530074857816,0.9643273298846711,0.8025040775594778,0.7359368661425039,0.9318725641368645,0.6268631593462224,0.41305939468859676,0.8517903973566944,0.8736722203945028
8,ring,0.16,0.008,0.03,0.02,0.06,0.04,0.12,0.018,0.04,0.026,0.016,0.34,0.8781572600848804,0.904942245623731,0.9989921863753317,0.9940288811157247,0.9456232400465429,0.7790203605826467,0.7352739249276288,0.9217921658835423,0.6490505405122151,0.4647419720001108,0.8361576535674039,0.8674312005724715
9,ring,0.2,0.006,0.035,0.035,0.08,0.055,0.16,0.018,0.06,0.026,0.016,0.34,0.8696507684929919,0.8984770307941777,0.9982903221520112,0.9902717336259855,0.9203575147815575,0.7660245912489738,0.734209264900449,0.9110330806994876,0.7159238070814335,0.5764639990289521,0.8667692551985337,0.867137568197452
10,mixed,0.12,0.01,0.025,0.01,0.04,0.025,0.08,0.018,0.02,0.026,0.016,0.34,0.9322189760551207,0.9468193579221852,0.9994610927472978,0.9991534279621108,0.9748896069992601,0.8241205395869207,0.7374960938394197,0.939978206121821,0.6091039698771954,0.37480039975443186,0.8348978361984231,0.8848045856790369
11,mixed,0.16,0.008,0.03,0.02,0.06,0.04,0.12,0.018,0.04,0.026,0.016,0.34,0.9203743371261898,0.9378993220493002,0.9990129252882038,0.998870268390489,0.9721121319649255,0.8035546554838447,0.7374749384609833,0.9329110807249338,0.6597878282797532,0.45682393200343624,0.8540664880643721,0.884666387529847
12,mixed,0.2,0.006,0.035,0.035,0.08,0.055,0.16,0.018,0.06,0.026,0.016,0.34,0.9103772411786796,0.930217643432933,0.9984519029800152,0.99838319230362,0.9646994242019058,0.78997434178085,0.7373418323951926,0.9293309882406284,0.7102931177478641,0.5547589906923148,0.8535615534544422,0.8854521871401876
