axis,score_mean,score_min,status,derived_rate,robust_rate
schrodinger,0.9058795262432621,0.8696507684929919,derived_candidate,1.0,1.0
string_m,0.926440133347387,0.8984770307941777,derived_candidate,1.0,1.0
dirac,0.9987831833293003,0.9970642888462204,derived_candidate,1.0,1.0
maxwell,0.997434384953369,0.9902717336259855,derived_candidate,1.0,1.0
einstein,0.9665528354115711,0.9203575147815575,derived_candidate,1.0,1.0
thermo,0.7982411435248996,0.7660245912489738,derived_candidate,1.0,1.0
hawking,0.7367909589536138,0.734209264900449,derived_candidate,1.0,1.0
radiation,0.9339746144991613,0.9110330806994876,derived_candidate,1.0,1.0
continuity,0.6654743178197245,0.5849290468006209,robust,0.3333333333333333,1.0
